SEMA-Sözeri-1030526724-3,997-9-1-2-K
İBRAHİM-Uluhan-1030527141-3,264-1820-459-2-E
DİDEM-Arslanoğlu-1030525956-3,263-1824-460-2-K
MELİKE-Poyrazoğlu-1030526689-3,263-1825-461-2-K
BERAT-Akışık-1030526694-3,262-1827-462-2-E
GÜLBEN-Kahveci-1030527182-3,262-1828-463-2-K
EMRE-Çörekçi-1030526257-3,261-1831-464-2-E
NESLİHAN-Velioğlu-1030526776-3,26-1836-465-2-K
GAMZE-Arıcan-1030527167-3,259-1837-466-2-K
FAİK-Öztuna-1030527246-3,259-1838-467-2-E
MURAT-Yalçın-1030527160-3,258-1840-468-2-E
EFE-Özberk-1030525527-3,257-1843-469-2-E
DİLRUBA-Kutlay-1030526074-3,257-1844-470-2-K
CUMAALİ-Kahveci-1030526116-3,257-1845-471-2-E
FAİK-Pektemek-1030525758-3,255-1849-472-2-E
FAİK-Kaplangı-1030525663-3,253-1852-473-2-E
HANDE-Erkekli-1030527427-3,253-1853-474-2-K
HATİCE-Özdenak-1030525121-3,249-1859-475-2-K
DERYA-Polat-1030527497-3,249-1860-476-2-K
KEREM-Öztuna-1030526478-3,248-1862-477-2-E
CEYLAN-Doğan -1030526904-3,246-1864-478-2-K
ESEN-Özdoğan-1030525207-3,244-1869-479-2-K
ADEM-Okumuş-1030526642-3,244-1870-480-2-E
HANDAN-Alnıaçık-1030526768-3,243-1872-481-2-K
CANSU-Sarıoğlu-1030525253-3,242-1874-482-2-K
FATİH-Körmükçü-1030525539-3,239-1883-483-2-E
YAHYA-Akgül-1030526120-3,237-1887-484-2-E
TUĞÇE-Ilıcalı-1030525401-3,235-1893-485-2-K
SALİH-Özdoğan-1030525904-3,235-1894-486-2-E
GAMZE-Koç-1030526250-3,235-1895-487-2-K
HAMZA-Pekkan-1030525080-3,234-1897-488-2-E
GONCA-Özdenak-1030525644-3,233-1898-489-2-K
BAHADIR-Menemencioğlu-1030525629-3,23-1905-490-2-E
ATAKAN-Samancı-1030526722-3,229-1907-491-2-E
ŞAHİN-Durak -1030527325-3,226-1913-492-2-E
SALİH-Gümüşpala-1030525998-3,223-1918-493-2-E
FERHAN-Tekelioğlu-1030526660-3,223-1919-494-2-K
BERAT-Yılmazer-1030525359-3,222-1923-495-2-E
SEMİHA-Uluhan-1030526337-3,221-1924-496-2-K
DİLAVER-Körmükçü-1030526447-3,221-1925-497-2-E
ESRA-Eliçin-1030525107-3,219-1930-498-2-K
GÜLÇİN-Sezek-1030525955-3,219-1931-499-2-K
YUNUSHAN-Baturalp-1030526736-3,216-1939-500-2-E
ONUR-Doğan -1030525528-3,213-1946-501-2-E
NELİS-Gönültaş-1030527221-3,21-1952-502-2-K
DOĞAN-Bademci-1030526890-3,209-1953-503-2-E
EMİNE-Poçan-1030525234-3,208-1954-504-2-K
SÜMEYRA-Baturalp-1030526956-3,208-1955-505-2-K
ERDEM-Kulaksızoğlu-1030527482-3,207-1957-506-2-E
ŞERİFE-Tahincioğlu-1030526421-3,205-1961-507-2-K
İBRAHİM-Topçuoğlu-1030526428-3,205-1962-508-2-E
HİLMİ-Tunçeri-1030525412-3,202-1970-509-2-E
DEMET-Günday-1030525390-3,199-1976-510-2-K
FERDA-Koç-1030525101-3,197-1981-511-2-K
NİHAL-Doğan -1030525418-3,195-1984-512-2-K
KADRİYE-Yılmazer-1030527375-3,195-1985-513-2-K
ESAT-Yalçın-1030525951-3,194-1987-514-2-E
ORHAN-Erbay-1030527415-3,194-1988-515-2-E
ALPEREN-Pekkan-1030527446-3,189-2001-516-2-E
CENGİZ-Beşerler-1030525981-3,188-2002-517-2-E
ALMİLA-Polat-1030527255-3,187-2004-518-2-K
GÖZDE-Atakol-1030526090-3,186-2008-519-2-K
MEHTAP-Aclan-1030527003-3,186-2009-520-2-K
KAAN-Solmaz-1030525654-3,184-2012-521-2-E
SÜHEYLA-Erberk-1030525479-3,183-2016-522-2-K
MUSTAFA-Kuzucu-1030525490-3,182-2017-523-2-E
DENİZ-Akgül-1030527105-3,182-2018-524-2-E
EMRULLAH-Ekici-1030525155-3,181-2020-525-2-E
FADİME-Karadaş-1030525259-3,181-2021-526-2-K
YAHYA-Tanrıkulu-1030526673-3,178-2030-527-2-E
ERTUĞRUL-Türkyılmaz-1030525202-3,177-2032-528-2-E
EYÜP-Durmaz-1030526716-3,177-2033-529-2-E
ŞERİFE-Eliçin-1030526900-3,177-2034-530-2-K
YUSUF-Koçoğlu-1030527478-3,176-2037-531-2-E
MİNE-Akbulut-1030526470-3,174-2041-532-2-K
BUĞRA-Çamdalı-1030526822-3,174-2042-533-2-E
ŞULE-Öztonga-1030525774-3,173-2044-534-2-K
HALİT-Nalbantoğlu-1030526715-3,173-2045-535-2-E
ALPEREN-Tuğluk-1030525933-3,171-2050-536-2-E
GÜLNİHAL-Atakol-1030527107-3,17-2051-537-2-K
MUSA-Akgül-1030525423-3,169-2052-538-2-E
ÇİLENAY-Kurutluoğlu-1030525889-3,169-2053-539-2-K
İREM-Okumuş-1030525417-3,167-2056-540-2-K
CUMAALİ-Pekkan-1030527359-3,167-2057-541-2-E
YILDIZ-Gönültaş-1030525384-3,166-2059-542-2-K
SEFA-Bademci-1030526531-3,165-2063-543-2-E
UĞUR-Yetkiner-1030526730-3,165-2064-544-2-E
LEYLA-Körmükçü-1030525102-3,162-2072-545-2-K
ŞAHİN-Adıvar-1030526166-3,16-2075-546-2-E
EMRE-Balaban-1030527155-3,159-2076-547-2-E
FİKRET-Adan-1030525581-3,156-2081-548-2-E
SEMİH-Baturalp-1030525623-3,154-2088-549-2-E
DEFNE-Hamzaoğlu-1030525987-3,154-2089-550-2-K
SELİM-Erbulak-1030526210-3,154-2090-551-2-E
FULYA-Topçuoğlu-1030526460-3,154-2091-552-2-K
ERTAN-Biçer-1030526980-3,153-2092-553-2-E
DİLARA-Tuğluk-1030526422-3,151-2095-554-2-K
TOPRAK-Körmükçü-1030526748-3,147-2102-555-2-E
NEŞE-Sadıklar-1030527430-3,147-2103-556-2-K
GÜRBÜZ-Atakol-1030526562-3,144-2110-557-2-E
FULYA-Özdoğan-1030525628-3,142-2117-558-2-K
CEM-Kıraç -1030526871-3,142-2118-559-2-E
EYÜP-Yılmazer-1030526358-3,141-2121-560-2-E
SELİN-Durak -1030525585-3,138-2127-561-2-K
ŞEVVAL-Ertürk-1030527030-3,131-2147-562-2-K
ALP-Erdoğan-1030526812-3,126-2159-563-2-E
GÖKÇE-Elmastaşoğlu-1030527157-3,124-2163-564-2-K
DOĞAN-Türkdoğan-1030525720-3,122-2170-565-2-E
ÖZKAN-Yeşilkaya-1030527369-3,122-2171-566-2-E
ÖMER-Paksüt-1030525795-3,117-2176-567-2-E
CANTEKİN-Özgörkey-1030525029-3,113-2188-568-2-E
TUNA-Tekand-1030525441-3,113-2189-569-2-E
DİLEK-Hakyemez-1030525964-3,112-2191-570-2-K
ASLIHAN-Erçetin-1030525213-3,11-2197-571-2-K
ŞERİFE-Baturalp-1030525816-3,11-2198-572-2-K
CUMA-Akyürek-1030525848-3,11-2199-573-2-E
GÖNÜL-Kılıççı-1030527185-3,11-2200-574-2-K
ABDULLAH-Çağıran-1030526061-3,109-2203-575-2-E
MEHMET-Akaydın-1030526088-3,106-2209-576-2-E
SERDAR-Özdenak-1030525679-3,103-2214-577-2-E
HAYAL-Arıcan-1030526245-3,102-2218-578-2-K
SENEM-Kocabıyık-1030525098-3,101-2220-579-2-K
MİRAY-Dağlaroğlu-1030526726-3,099-2226-580-2-K
NESLİHAN-Özberk-1030526942-3,099-2227-581-2-K
MİHRİBAN-Erbay-1030527431-3,097-2233-582-2-K
KÜRŞAD-Ayverdi-1030525434-3,096-2235-583-2-E
YUNUS-Tütüncü-1030527230-3,096-2236-584-2-E
İNCİ-Karaböcek-1030527416-3,096-2237-585-2-K
DOĞAN-Nalbantoğlu-1030525587-3,093-2243-586-2-E
BUĞRA-Dalkıran-1030527106-3,089-2250-587-2-E
DİLEK-Erçetin-1030527122-3,087-2254-588-2-K
HALDUN-Çetiner-1030527471-3,087-2255-589-2-E
NAZLI-Örge-1030526211-3,083-2268-590-2-K
MÜGE-Çapanoğlu-1030527351-3,083-2269-591-2-K
EMRE-Adal-1030525195-3,082-2271-592-2-E
ERTUĞRUL-Egeli-1030525326-3,081-2273-593-2-E
RAMAZAN-Hamzaoğlu-1030525687-3,081-2274-594-2-E
EREN-Avan-1030525829-3,081-2275-595-2-E
MERAL-Abadan-1030526921-3,074-2288-596-2-K
BURHAN-Adan-1030527045-3,072-2293-597-2-E
HİLAL-Ilıcalı-1030527113-3,072-2294-598-2-K
VEYSEL-Nebioğlu-1030526009-3,068-2301-599-2-E
GÜLDESTE-Eronat-1030525610-3,067-2306-600-2-K
RAMAZAN-Sinanoğlu-1030526858-3,067-2307-601-2-E
HALİL-Çörekçi-1030525265-3,066-2309-602-2-E
BERAT-Oraloğlu-1030525510-3,062-2317-603-2-E
ESAT-Dalkıran-1030526652-3,062-2318-604-2-E
ALİSA-Korol-1030526386-3,061-2322-605-2-K
ŞAHİN-Kıraç -1030526527-3,061-2323-606-2-E
ILGIN-Özdoğan-1030527057-3,061-2324-607-2-K
YÜSRA-Özdoğan-1030527203-3,057-2332-608-2-K
HAKKI-Polat-1030526055-3,056-2334-609-2-E
BARAN-Özdenak-1030527248-3,056-2335-610-2-E
HALDUN-Ayverdi-1030526418-3,05-2348-611-2-E
NESLİHAN-Doğan -1030527490-3,049-2349-612-2-K
MURAT-Erginsoy-1030525764-3,048-2351-613-2-E
CAFE-Bakırcıoğlu-1030526103-3,047-2353-614-2-E
BUĞRA-Kunt-1030525630-3,04-2362-615-2-E
TOPRAK-Hakyemez-1030525383-3,037-2365-616-2-E
DİLAN-Başoğlu-1030526762-3,033-2374-617-2-K
HALİL-Limoncuoğlu-1030526214-3,031-2384-618-2-E
AYÇA-Düşenkalkar-1030526811-3,031-2385-619-2-K
FULYA-Günday-1030527349-3,031-2386-620-2-K
ABDURRAHMAN-Topaloğlu-1030527234-3,028-2394-621-2-E
RAMAZAN-Mayhoş-1030525041-3,027-2396-622-2-E
HİKMET-Çamdalı-1030525362-3,025-2403-623-2-E
BERKAN-Bolatlı-1030525965-3,025-2404-624-2-E
İLKNUR-Akgül-1030525451-3,018-2412-625-2-K
FİKRET-Yeşilkaya-1030527087-3,018-2413-626-2-E
ONUR-Bademci-1030527216-3,018-2414-627-2-E
TAYFUN-Velioğlu-1030525659-3,016-2418-628-2-E
ŞEYMANUR-Özgörkey-1030527393-3,016-2419-629-2-K
EYÜP-Tütüncü-1030525199-3,014-2421-630-2-E
TAYFUR-Yılmazer-1030527060-3,014-2422-631-2-E
FADİME-Sözeri-1030526102-3,011-2433-632-2-K
GÜRBÜZ-Yalçın-1030525670-3,008-2441-633-2-E
MEHMET-Akman-1030525658-3,006-2446-634-2-E
ORHAN-Durmaz-1030526118-3,006-2447-635-2-E
İREM-Dizdar -1030526923-3,006-2448-636-2-K
ALİME-Körmükçü-1030527289-3,001-2461-637-2-K
İSMAİL-Uluhan-1030526905-2,997-2467-638-2-E
TAYFUN-Orbay-1030526881-2,995-2471-639-2-E
ALİ-Bakırcıoğlu-1030526796-2,994-2472-640-2-E
GONCA-Kunt-1030526466-2,992-2476-641-2-K
DOĞAN-Akan-1030527295-2,992-2477-642-2-E
UĞUR-Limoncuoğlu-1030526348-2,991-2479-643-2-E
ESMA-Tüzün-1030526759-2,99-2483-644-2-K
MAHMUT-Öymen-1030525443-2,988-2486-645-2-E
ÇİLAY-Avan-1030527326-2,988-2487-646-2-K
MEHTAP-Sadıklar-1030526707-2,986-2492-647-2-K
SAMİ-Ekici-1030526141-2,985-2498-648-2-E
İDİL-Kahveci-1030527110-2,985-2499-649-2-K
BÜŞRA-Sinanoğlu-1030525014-2,982-2508-650-2-K
ESRA-Kurutluoğlu-1030525882-2,979-2511-651-2-K
YÜSRA-Körmükçü-1030526637-2,979-2512-652-2-K
CİVAN-Aykaç-1030525601-2,978-2513-653-2-E
MUHAMMED-Mayhoş-1030526608-2,978-2514-654-2-E
FAZIL-Ağaoğlu-1030525470-2,977-2518-655-2-E
NURULLAH-Körmükçü-1030526008-2,977-2519-656-2-E
SEZER-Türkyılmaz-1030526739-2,977-2520-657-2-E
BAHADIR-Özgörkey-1030526039-2,975-2523-658-2-E
KÜBRA-Çamdalı-1030525294-2,974-2527-659-2-K
İPEK-Barbarosoğlu-1030526851-2,971-2537-660-2-K
YELİZ-Egeli-1030525844-2,97-2539-661-2-K
CEYLİN-Kıraç -1030525512-2,969-2541-662-2-K
ALİ-Kulaksızoğlu-1030526626-2,968-2543-663-2-E
EFEKAN-Çatalbaş-1030526277-2,967-2547-664-2-E
NİHAL-Erkekli-1030526582-2,967-2548-665-2-K
ABDULLAH-Avan-1030525082-2,964-2552-666-2-E
RUKİYE-Oraloğlu-1030525735-2,964-2553-667-2-K
DERVİŞ-Özbey-1030525016-2,959-2566-668-2-E
DOĞAN-Velioğlu-1030525280-2,958-2570-669-2-E
NELİS-Köybaşı-1030525945-2,958-2571-670-2-K
SEZER-Tokatlıoğlu-1030525104-2,957-2572-671-2-E
TUNA-Paksüt-1030525877-2,955-2575-672-2-E
EFE-Polat-1030526687-2,954-2581-673-2-E
EFEKAN-Ekici-1030526967-2,953-2583-674-2-E
İLAYDA-Kılıççı-1030525431-2,952-2586-675-2-K
HAMZA-Kunt-1030525739-2,952-2587-676-2-E
FİKRET-Topaloğlu-1030525648-2,948-2599-677-2-E
YILDIZ-Tahincioğlu-1030525331-2,947-2602-678-2-K
ONUR-Akan-1030526449-2,943-2609-679-2-E
FİLİZ-Kaya -1030526809-2,943-2610-680-2-K
MELİKE-Akyürek-1030526555-2,942-2613-681-2-K
CAN-Erginsoy-1030526453-2,941-2614-682-2-E
BAŞAK-Kumcuoğlu-1030527138-2,94-2617-683-2-K
TUNA-Arslanoğlu-1030526995-2,939-2619-684-2-E
OSMAN-Mertoğlu-1030526232-2,938-2622-685-2-E
ALMİLA-Aykaç-1030525099-2,936-2630-686-2-K
ERKAN-Arıcan-1030527254-2,936-2631-687-2-E
İREM-Dağdaş-1030527455-2,934-2638-688-2-K
CEYLAN-Okumuş-1030525352-2,931-2643-689-2-K
HAYAL-Sinanoğlu-1030525178-2,93-2648-690-2-K
HALDUN-Taşçı-1030526564-2,929-2652-691-2-E
ÇİLENAY-Erberk-1030525204-2,928-2656-692-2-K
SERGEN-Hamzaoğlu-1030525422-2,928-2657-693-2-E
ÇINAR-Kocabıyık-1030526993-2,928-2658-694-2-E
LEYLA-Özdenak-1030526399-2,927-2663-695-2-K
TUĞBA-Özdenak-1030525403-2,925-2667-696-2-K
CAN-Kaya -1030526609-2,924-2670-697-2-E
NERGİS-Tuğlu-1030525268-2,921-2678-698-2-K
EFE-Örge-1030525866-2,921-2679-699-2-E
MELEK-Adan-1030527043-2,921-2680-700-2-K
FİKRET-Erberk-1030527124-2,919-2684-701-2-E
ÇINAR-Dağdaş-1030527408-2,918-2686-702-2-E
GÜLBEN-Sezek-1030525380-2,91-2700-703-2-K
NAZİK-Kurutluoğlu-1030526019-2,909-2705-704-2-K
GÜL-Okumuş-1030526827-2,908-2708-705-2-K
AÇELYA-Eronat-1030527194-2,906-2714-706-2-K
EMRE-Kutlay-1030527272-2,904-2719-707-2-E
EREN-Yeşilkaya-1030527146-2,902-2723-708-2-E
ABDULLAH-Yeşilkaya-1030525212-2,901-2728-709-2-E
AYŞENUR-Barbarosoğlu-1030526311-2,901-2729-710-2-K
SELÇUK-Kutlay-1030525078-2,9-2732-711-2-E
HABİBE-Karaduman-1030525436-2,9-2733-712-2-K
ILGIN-Egeli-1030526142-2,899-2734-713-2-K
FAZIL-Doğan -1030525621-2,898-2738-714-2-E
EBRU-Uluhan-1030526524-2,898-2739-715-2-K
ÖZGÜR-Çatalbaş-1030525135-2,897-2743-716-2-E
DİLRUBA-Özkök -1030525444-2,897-2744-717-2-K
AHSEN-Yalçın-1030525870-2,897-2745-718-2-K
CEM-Durak -1030527041-2,897-2746-719-2-E
MÜGE-Hamzaoğlu-1030526011-2,894-2762-720-2-K
EFE-Orbay-1030526534-2,894-2763-721-2-E
ÇAĞRI-Erbay-1030526501-2,892-2768-722-2-E
VEYSEL-Adan-1030525547-2,891-2771-723-2-E
ANIL-Özbey-1030527313-2,889-2774-724-2-E
PELİN-Öztonga-1030525115-2,887-2781-725-2-K
HAKKI-Tunaboylu-1030526754-2,885-2785-726-2-E
ERDEM-Beşok-1030527320-2,885-2786-727-2-E
HİKMET-Bolatlı-1030526835-2,884-2788-728-2-E
GÜLDİDE-Özkara-1030526298-2,883-2791-729-2-K
RAMAZAN-Özkara-1030525926-2,881-2797-730-2-E
BERAT-Tunçeri-1030526299-2,88-2800-731-2-E
CANER-Doğan -1030526983-2,88-2801-732-2-E
HALİL-Kunter-1030526124-2,877-2804-733-2-E
EKREM-Öztonga-1030525571-2,874-2806-734-2-E
ELİF-Tazegül-1030527132-2,874-2807-735-2-K
YASEMİN-Karaduman-1030527217-2,872-2811-736-2-K
HAZİM-Karaduman-1030526338-2,869-2821-737-2-E
MELEK-Tokatlıoğlu-1030525392-2,868-2825-738-2-K
GONCA-Ertürk-1030526964-2,867-2829-739-2-K
MUSTAFA-Günday-1030526160-2,864-2836-740-2-E
SEMA-Polat-1030525712-2,863-2839-741-2-K
GÖNÜL-Bolatlı-1030525846-2,853-2864-742-2-K
MÜCAHİD-Tahincioğlu-1030527364-2,853-2865-743-2-E
AHSEN-Mayhoş-1030525442-2,85-2872-744-2-K
FAZİLET-Akay-1030526269-2,85-2873-745-2-K
AYÇA-Özberk-1030527319-2,847-2882-746-2-K
AYFER-Uluhan-1030525111-2,841-2892-747-2-K
ŞERİFE-Akay-1030525560-2,841-2893-748-2-K
ÖMER-Ilıcalı-1030525792-2,841-2894-749-2-E
SULTAN-Türkyılmaz-1030527344-2,839-2899-750-2-K
YELİZ-Tunaboylu-1030525363-2,831-2907-751-2-K
ERSİN-Okumuş-1030526022-2,831-2908-752-2-E
EBRU-Ekşioğlu-1030526775-2,825-2924-753-2-K
GÖKÇEN-Poçan-1030527126-2,824-2927-754-2-K
HÜSEYİN-Atan-1030527476-2,824-2928-755-2-E
DENİZ-Koç-1030527201-2,819-2935-756-2-E
SÜMEYYE-Erkekli-1030525580-2,816-2946-757-2-K
DİLARA-Akışık-1030525583-2,81-2956-758-2-K
CANSU-Sinanoğlu-1030525865-2,809-2957-759-2-K
HİLAL-Kutlay-1030527314-2,809-2958-760-2-K
GÜNER-Özkara-1030526737-2,808-2964-761-2-K
EMİNE-Düşenkalkar-1030526879-2,808-2965-762-2-K
GİZEM-Adan-1030527448-2,807-2966-763-2-K
FEYZA-Köybaşı-1030526367-2,806-2970-764-2-K
MAHMURE-Günday-1030525594-2,805-2971-765-2-K
MÜCAHİD-Elçiboğa-1030526903-2,805-2972-766-2-E
NAZİFE-Kılıççı-1030525343-2,8-2985-767-2-K
BİLGE-Tokatlıoğlu-1030526420-2,797-2993-768-2-K
HALDUN-Akman-1030526810-2,797-2994-769-2-E
HAZİM-Akay-1030525694-2,796-2996-770-2-E
ECEM-Orbay-1030526596-2,795-2999-771-2-K
ABDULLAH-Aykaç-1030526628-2,794-3002-772-2-E
HABİBE-Keçeci-1030525074-2,793-3007-773-2-K
UĞUR-Yıldırım -1030525830-2,793-3008-774-2-E
ÖZGÜR-Barbarosoğlu-1030525341-2,792-3013-775-2-E
MERVE-Bademci-1030525272-2,789-3021-776-2-K
CANAN-Babacan-1030525696-2,789-3022-777-2-K
UTKU-Aydan-1030526614-2,788-3024-778-2-E
AYFER-Samancı-1030525676-2,787-3029-779-2-K
MELODİ-Tanrıkulu-1030526966-2,785-3033-780-2-K
ENES-Sepetçi-1030525238-2,784-3036-781-2-E
AYFER-Akay-1030525057-2,781-3043-782-2-K
BAŞAK-Tuğluk-1030527441-2,781-3044-783-2-K
BURHAN-Kunt-1030525035-2,775-3061-784-2-E
ALİ-Tanrıkulu-1030525759-2,773-3066-785-2-E
AYŞENUR-Sözeri-1030525340-2,772-3070-786-2-K
TEVFİK-Hamzaoğlu-1030525438-2,772-3071-787-2-E
VEYSEL-Ilıcalı-1030526889-2,772-3072-788-2-E
VEHBİ-Sarıoğlu-1030525042-2,768-3081-789-2-E
ENES-Kunter-1030527082-2,767-3086-790-2-E
TEVFİK-Akgül-1030527229-2,766-3088-791-2-E
GAMZE-Dalkıran-1030526622-2,765-3091-792-2-K
SEFANUR-Menemencioğlu-1030526503-2,764-3093-793-2-K
SEMİHA-Babacan-1030527085-2,763-3096-794-2-K
AŞİYAN-Durak -1030525992-2,758-3110-795-2-K
BERFİN-Karaböcek-1030527114-2,755-3116-796-2-K
HALİME-Erginsoy-1030526638-2,754-3121-797-2-K
KÜBRA-Adal-1030527287-2,754-3122-798-2-K
HAKAN-Yazıcı-1030526321-2,753-3124-799-2-E
ÇINAR-Kasapoğlu-1030526846-2,752-3126-800-2-E
SEVGİ-Kıraç -1030527410-2,752-3127-801-2-K
DEMET-Avan-1030526078-2,75-3132-802-2-K
FİLİZ-Çevik-1030526097-2,749-3136-803-2-K
SERGEN-Elmastaşoğlu-1030525666-2,748-3141-804-2-E
GÜLNAZ-Tütüncü-1030526441-2,748-3142-805-2-K
PELİN-Erdoğan-1030527342-2,743-3157-806-2-K
TUNA-Doğan -1030526264-2,742-3160-807-2-E
SAMİ-Ilıcalı-1030526566-2,741-3163-808-2-E
VOLKAN-Arıcan-1030525193-2,738-3170-809-2-E
LEYLA-Tokatlıoğlu-1030525382-2,735-3185-810-2-K
HAKAN-Erbulak-1030525224-2,732-3191-811-2-E
NUR-Sarıoğlu-1030525999-2,732-3192-812-2-K
UTKU-Bademci-1030526902-2,73-3198-813-2-E
HANDE-Alyanak-1030525825-2,729-3201-814-2-K
ÇİLAY-Demirbaş-1030526570-2,724-3210-815-2-K
ÖZGÜL-Ertepınar-1030525857-2,722-3211-816-2-K
ÇETİN-Tekelioğlu-1030526362-2,719-3218-817-2-E
MELEK-Akay-1030526760-2,719-3219-818-2-K
DERYA-Hamzaoğlu-1030527456-2,719-3220-819-2-K
CEYLİN-Tüzün-1030526607-2,715-3228-820-2-K
EMİNE-Özberk-1030526209-2,714-3231-821-2-K
DERYA-Ekici-1030526049-2,709-3247-822-2-K
CANSEL-Özkök -1030527072-2,708-3249-823-2-K
MUSA-Balaban-1030525930-2,707-3250-824-2-E
CANSEL-Ayverdi-1030527432-2,706-3252-825-2-K
LATİFE-Hakyemez-1030526665-2,699-3263-826-2-K
SEFANUR-Topçuoğlu-1030525845-2,698-3266-827-2-K
RESUL-Kurutluoğlu-1030527081-2,696-3270-828-2-E
TAYFUN-Koçoğlu-1030525988-2,693-3278-829-2-E
YUNUS-Durmaz-1030527324-2,691-3285-830-2-E
SÜMEYRA-Arıcan-1030526909-2,689-3288-831-2-K
PELİN-Özbir-1030526674-2,687-3294-832-2-K
CEREN-Akgül-1030525914-2,685-3296-833-2-K
FERHAN-Gönültaş-1030527034-2,684-3298-834-2-K
TALHA-Akar -1030525349-2,683-3301-835-2-E
ŞULE-Tekand-1030525070-2,682-3302-836-2-K
HAKKI-Tokatlıoğlu-1030527191-2,68-3309-837-2-E
İHSAN-Elçiboğa-1030527318-2,675-3316-838-2-E
HACI-Alyanak-1030525012-2,669-3321-839-2-E
HİLAL-Ilıcalı-1030526522-2,667-3329-840-2-K
ŞEVVAL-Özberk-1030525876-2,666-3333-841-2-K
ECE-Kurutluoğlu-1030526236-2,666-3334-842-2-K
SÜHEYLA-Çetiner-1030526720-2,665-3337-843-2-K
ESEN-Kahveci-1030527298-2,665-3338-844-2-K
SELÇUK-Öztonga-1030525131-2,663-3346-845-2-E
TAYFUR-Tokatlıoğlu-1030525934-2,663-3347-846-2-E
BUĞRA-Toraman-1030527253-2,662-3351-847-2-E
AYÇA-Koçyiğit-1030526729-2,661-3353-848-2-K
MERT-Akay-1030527329-2,658-3358-849-2-E
GONCA-Ozansoy-1030527336-2,654-3368-850-2-K
SEFA-Hamzaoğlu-1030525892-2,653-3370-851-2-E
FURKAN-Solmaz-1030526105-2,652-3376-852-2-E
MÜGE-Akman-1030525773-2,651-3379-853-2-K
SİNAN-Aşıkoğlu-1030526092-2,651-3380-854-2-E
BEKİR-Çörekçi-1030527421-2,651-3381-855-2-E
İLYA-Körmükçü-1030527365-2,645-3391-856-2-K
DESTAN-Polat-1030525702-2,644-3395-857-2-K
SENEM-Karaböcek-1030526058-2,644-3396-858-2-K
FAHRİ-Paksüt-1030526820-2,641-3401-859-2-E
DUYGU-Ozansoy-1030525081-2,639-3408-860-2-K
ÇINAR-Hamzaoğlu-1030525219-2,639-3409-861-2-E
ŞAHİN-Erkekli-1030527070-2,636-3417-862-2-E
İLKNUR-Kocabıyık-1030525179-2,635-3419-863-2-K
YUNUSHAN-Koyuncu-1030526742-2,634-3422-864-2-E
EMRE-Erbulak-1030526842-2,634-3423-865-2-E
HALUK-Özbey-1030525196-2,632-3428-866-2-E
SİNEM-Öztonga-1030526416-2,632-3429-867-2-K
DİLAY-Tunçeri-1030525522-2,629-3435-868-2-K
ERTAN-Ilıcalı-1030525389-2,627-3439-869-2-E
BERKAN-Özbey-1030526003-2,626-3443-870-2-E
FİDAN-Keçeci-1030526512-2,62-3455-871-2-K
ÖMER-Alyanak-1030526208-2,618-3461-872-2-E
OKTAY-Erbulak-1030525941-2,616-3466-873-2-E
CEYLİN-Sarıoğlu-1030526560-2,612-3472-874-2-K
MELEK-Tokgöz-1030526880-2,611-3474-875-2-K
TOPRAK-Sepetçi-1030525691-2,61-3477-876-2-E
HİLAL-Hakyemez-1030525378-2,609-3481-877-2-K
ABDURRAHMAN-Elmastaşoğlu-1030526287-2,608-3484-878-2-E
DOĞUKAN-Karadaş-1030525936-2,607-3485-879-2-E
FURKAN-Uca-1030526845-2,606-3488-880-2-E
HALDUN-Hakyemez-1030526976-2,606-3489-881-2-E
CAFER-Velioğlu-1030526893-2,605-3493-882-2-E
YILDIZ-Sözeri-1030526790-2,603-3498-883-2-K
KADİR-Öztuna-1030526433-2,6-3502-884-2-E
ANIL-Durak -1030526492-2,599-3503-885-2-E
SELÇUK-Tunaboylu-1030525314-2,595-3517-886-2-E
BAYRAM-Bolatlı-1030526028-2,595-3518-887-2-E
DOĞUKAN-Atakol-1030525526-2,586-3533-888-2-E
AÇELYA-Pekkan-1030526825-2,584-3538-889-2-K
İBRAHİM-Velioğlu-1030526898-2,584-3539-890-2-E
MERT-Tuğluk-1030526048-2,583-3541-891-2-E
MECNUN-Alyanak-1030526770-2,582-3545-892-2-E
EYŞAN-Türkyılmaz-1030526083-2,581-3546-893-2-K
FATİH-Özdenak-1030527309-2,581-3547-894-2-E
VOLKAN-Korol-1030526693-2,578-3555-895-2-E
PERİHAN-Nalbantoğlu-1030525132-2,574-3560-896-2-K
GÖKHAN-Akbulut-1030527290-2,572-3564-897-2-E
MUSA-Okumuş-1030526042-2,571-3566-898-2-E
MURAT-Kunter-1030525145-2,569-3570-899-2-E
İREM-Özgörkey-1030527063-2,569-3571-900-2-K
HALUK-Kılıççı-1030525661-2,565-3579-901-2-E
AYLİN-Pektemek-1030526867-2,564-3580-902-2-K
İHSAN-Özkara-1030525214-2,563-3582-903-2-E
İLYA-Elçiboğa-1030525446-2,562-3584-904-2-K
BARAN-Aşıkoğlu-1030527334-2,562-3585-905-2-E
GÜL-Oraloğlu-1030526059-2,561-3589-906-2-K
YEŞİM-Kıraç -1030525605-2,559-3591-907-2-K
GÜNAY-Barbarosoğlu-1030525228-2,558-3595-908-2-K
CANER-Kumcuoğlu-1030525409-2,556-3598-909-2-E
BERAT-Pektemek-1030526281-2,554-3605-910-2-E
