GAMZE-Özbir-1030524731-4-1-1-3-K
CANSEL-Polat-1030522756-3,999-3-2-3-K
SEMİH-Polat-1030524947-3,267-1808-460-3-E
SERGEN-Atan-1030523624-3,266-1812-461-3-E
FAHRİ-Elçiboğa-1030522510-3,265-1814-462-3-E
RABİA-Doğan -1030522840-3,264-1819-463-3-K
HATİCE-Tazegül-1030524273-3,261-1829-464-3-K
HİLMİ-Toraman-1030524485-3,261-1830-465-3-E
HANDAN-Aykaç-1030522696-3,256-1846-466-3-K
HAZİM-Eronat-1030524108-3,255-1848-467-3-E
SERDAR-Topaloğlu-1030523787-3,253-1851-468-3-E
DURAN-Koç-1030522903-3,245-1866-469-3-E
GÜL-Keçeci-1030523892-3,244-1868-470-3-K
DENİZ-Elmastaşoğlu-1030522621-3,24-1880-471-3-E
SERGEN-Baykam-1030522984-3,24-1881-472-3-E
DİLARA-Arıcan-1030524372-3,24-1882-473-3-K
SENEM-Numanoğlu-1030524136-3,236-1889-474-3-K
ÖZKAN-Akaydın-1030523116-3,235-1891-475-3-E
KADRİYE-Küçükler-1030524789-3,235-1892-476-3-K
AKIN-Barbarosoğlu-1030523359-3,231-1901-477-3-E
ŞEYMANUR-Ilıcalı-1030524547-3,231-1902-478-3-K
FULYA-Sinanoğlu-1030523169-3,23-1904-479-3-K
KEREM-Akman-1030522758-3,229-1906-480-3-E
TAYFUR-Özberk-1030524433-3,228-1909-481-3-E
AYÇA-Adal-1030522963-3,222-1921-482-3-K
İBRAHİM-Ekşioğlu-1030523182-3,222-1922-483-3-E
BEGÜM-Akay-1030524795-3,22-1927-484-3-K
HACI-Çetin-1030522926-3,216-1938-485-3-E
GÖKHAN-Oraloğlu-1030522909-3,215-1941-486-3-E
NURULLAH-Kıraç -1030523298-3,215-1942-487-3-E
UTKU-Doğan -1030523239-3,212-1949-488-3-E
EMİR-Aykaç-1030524504-3,21-1951-489-3-E
UĞUR-Küçükler-1030523465-3,207-1956-490-3-E
HALE-Beşerler-1030523446-3,204-1964-491-3-K
NAZ-Ekşioğlu-1030524936-3,204-1965-492-3-K
GÖKHAN-Türkdoğan-1030522818-3,199-1975-493-3-E
BERKAN-Babaoğlu-1030524537-3,197-1980-494-3-E
SEZER-Aykaç-1030523657-3,196-1982-495-3-E
EYLÜL-Arslanoğlu-1030523470-3,195-1983-496-3-K
SEÇİL-Polat-1030523847-3,192-1990-497-3-K
ERKAN-Çetiner-1030524391-3,191-1993-498-3-E
GÖKÇEN-Körmükçü-1030523365-3,19-1996-499-3-K
KALENDER-Akay-1030523427-3,19-1997-500-3-E
BERKAN-Sinanoğlu-1030524237-3,183-2015-501-3-E
HÜSEYİN-Tanrıkulu-1030524410-3,181-2019-502-3-E
YUNUS-Ekşioğlu-1030523139-3,18-2022-503-3-E
İBRAHİM-Tanrıkulu-1030523709-3,179-2024-504-3-E
FERDA-Atan-1030524203-3,179-2025-505-3-K
HANDAN-Önür-1030523209-3,178-2028-506-3-K
İHSAN-Topçuoğlu-1030523721-3,178-2029-507-3-E
AYÇA-Balcı-1030522596-3,177-2031-508-3-K
BÜŞRA-Kunt-1030523512-3,176-2036-509-3-K
BARAN-Demirbaş-1030524139-3,175-2039-510-3-E
HATİCE-Duygulu-1030524027-3,172-2047-511-3-K
RESUL-Kaya -1030524326-3,172-2048-512-3-E
SERDAR-Oraloğlu-1030524296-3,168-2055-513-3-E
BERFİN-Nalbantoğlu-1030522995-3,166-2058-514-3-K
ALİME-Sarıoğlu-1030522727-3,165-2061-515-3-K
VEHBİ-Kulaksızoğlu-1030523165-3,165-2062-516-3-E
FEYZA-Kunter-1030524437-3,163-2069-517-3-K
LEYLA-Yıldırım -1030523834-3,161-2074-518-3-K
MAHMURE-Paksüt-1030522774-3,158-2078-519-3-K
İBRAHİM-Tunçeri-1030524155-3,154-2087-520-3-E
ANIL-Paksüt-1030524667-3,152-2093-521-3-E
ÖZKAN-Arslanoğlu-1030524339-3,15-2097-522-3-E
HABİBE-Menemencioğlu-1030523888-3,147-2100-523-3-K
SERDAR-Kasapoğlu-1030524180-3,147-2101-524-3-E
BEGÜM-Sinanoğlu-1030523550-3,146-2104-525-3-K
GÜLBEN-Özkök -1030523832-3,146-2105-526-3-K
ÇİCEK-Sözeri-1030523995-3,143-2114-527-3-K
HAKAN-Pekkan-1030523076-3,142-2116-528-3-E
EKREM-Demirbaş-1030523409-3,141-2120-529-3-E
DEMET-Kılıççı-1030524774-3,138-2126-530-3-K
SEZER-Çatalbaş-1030523220-3,137-2129-531-3-E
GİZEM-Ertepınar-1030524318-3,137-2130-532-3-K
DURAN-Karadaş-1030522515-3,132-2143-533-3-E
MUSTAFA-Kahveci-1030522762-3,132-2144-534-3-E
GÜNER-Toraman-1030523497-3,132-2145-535-3-K
ŞEYMA-Kocabıyık-1030523581-3,129-2153-536-3-K
BUĞRA-Beşerler-1030523583-3,129-2154-537-3-E
HASAN-Erbay-1030522511-3,128-2157-538-3-E
GÖKHAN-Topaloğlu-1030523814-3,125-2161-539-3-E
HAKKI-Kahveci-1030524711-3,123-2166-540-3-E
FAİK-Nalbantoğlu-1030524680-3,122-2169-541-3-E
NUR-Durak -1030522936-3,116-2179-542-3-K
SAMİ-Körmükçü-1030524596-3,116-2180-543-3-E
HÜMEYRA-Avan-1030523557-3,115-2182-544-3-K
VEYSEL-Adal-1030523728-3,115-2183-545-3-E
SEMA-Tokgöz-1030522815-3,113-2186-546-3-K
ESAT-Tokatlıoğlu-1030523576-3,113-2187-547-3-E
NURULLAH-Ekşioğlu-1030523596-3,111-2194-548-3-E
EMRULLAH-Tazegül-1030523802-3,108-2204-549-3-E
ADEM-Beşok-1030523855-3,108-2205-550-3-E
ALP-Bademci-1030524993-3,104-2213-551-3-E
BEGÜM-Karabulut-1030524721-3,1-2222-552-3-K
BİLGEHAN-Ağaoğlu-1030523063-3,099-2225-553-3-K
ENES-Tuğlu-1030524265-3,098-2229-554-3-E
KAAN-Babaoğlu-1030522964-3,094-2239-555-3-E
FAİK-Küçükler-1030524016-3,093-2242-556-3-E
BATUHAN-Akyüz-1030524798-3,092-2244-557-3-E
FULYA-Tanrıkulu-1030523425-3,09-2247-558-3-K
METEHAN-Yıldızoğlu-1030524855-3,09-2248-559-3-E
ASLIHAN-Ilıcalı-1030523202-3,087-2253-560-3-K
GÜLBEN-Erçetin-1030523521-3,086-2257-561-3-K
HANDAN-Sarıoğlu-1030524071-3,085-2260-562-3-K
TUĞÇE-Ilıcalı-1030524865-3,084-2264-563-3-K
EKREM-Berberoğlu-1030523575-3,083-2267-564-3-E
EMİNE-Erkekli-1030524059-3,082-2270-565-3-K
EMRAH-Arıcan-1030522888-3,081-2272-566-3-E
ÖZGÜL-Aykaç-1030523602-3,08-2276-567-3-K
İBRAHİM-Aybar-1030523718-3,079-2278-568-3-E
VENHAR-Başoğlu-1030523779-3,079-2279-569-3-K
FURKAN-Velioğlu-1030522922-3,078-2281-570-3-E
İREM-Akay-1030524131-3,078-2282-571-3-K
ESRA-Demirbaş-1030524908-3,073-2290-572-3-K
HİLAL-Türkyılmaz-1030524953-3,072-2292-573-3-K
ESEN-Koç-1030524200-3,07-2296-574-3-K
BAYRAM-Koç-1030523519-3,069-2299-575-3-E
FERDANE-Türkyılmaz-1030523636-3,064-2311-576-3-K
BERFİN-Pekkan-1030524083-3,064-2312-577-3-K
HANDAN-Mayhoş-1030524534-3,064-2313-578-3-K
CEYLİN-Evliyaoğlu-1030522719-3,063-2315-579-3-K
KEREM-Köybaşı-1030524784-3,063-2316-580-3-E
BERRE-Duygulu-1030522739-3,058-2328-581-3-K
SEVİL-Ilıcalı-1030522967-3,057-2331-582-3-K
ECEM-Türkdoğan-1030523296-3,056-2333-583-3-K
TUNA-Tüzün-1030522686-3,055-2340-584-3-E
SÜMEYYE-Yıldızoğlu-1030522842-3,054-2342-585-3-K
FURKAN-Ağaoğlu-1030524907-3,05-2347-586-3-E
NEHİR-Ertürk-1030522923-3,045-2355-587-3-K
NURULLAH-Öymen-1030524966-3,04-2361-588-3-E
VEHBİ-Dalkıran-1030523652-3,038-2363-589-3-E
İREM-Tekelioğlu-1030523683-3,035-2369-590-3-K
BUSE-Özbey-1030523611-3,032-2381-591-3-K
DİCLE-Koçoğlu-1030524861-3,031-2383-592-3-K
DAMLA-Tuğluk-1030524765-3,03-2389-593-3-K
ÇAĞLAR-Akar -1030524230-3,028-2393-594-3-E
DİLEK-Atan-1030524593-3,027-2395-595-3-K
EREN-Türkdoğan-1030522630-3,025-2401-596-3-E
DOĞUKAN-Köybaşı-1030523813-3,025-2402-597-3-E
ESRA-Koyuncu-1030523545-3,021-2409-598-3-K
KADİR-Kahveci-1030523859-3,013-2425-599-3-E
CUMAALİ-Kurutluoğlu-1030524406-3,013-2426-600-3-E
İDİL-Sarıoğlu-1030523883-3,011-2431-601-3-K
ELÇİN-Sezek-1030524981-3,011-2432-602-3-K
BEKİR-Bakırcıoğlu-1030523438-3,009-2438-603-3-E
SELİM-Sezek-1030524385-3,007-2443-604-3-E
UTKU-Çevik-1030523529-3,004-2454-605-3-E
ESEN-Ilıcalı-1030523443-3,003-2456-606-3-K
EREN-Süleymanoğlu-1030524671-3,003-2457-607-3-E
CEYLAN-Baturalp-1030523882-3,001-2460-608-3-K
SİNAN-Polat-1030522524-3-2463-609-3-E
MAHMUT-Körmükçü-1030522893-2,993-2473-610-3-E
CÜNEYT-Çağıran-1030524219-2,988-2485-611-3-E
CİVAN-Sarıoğlu-1030523119-2,987-2489-612-3-E
ATAKAN-Aykaç-1030522827-2,986-2490-613-3-E
GÖNÜL-Kıraç -1030523437-2,986-2491-614-3-K
OSMAN-Dalkıran-1030522986-2,984-2501-615-3-E
KADİR-Yazıcı-1030523780-2,983-2502-616-3-E
EMİR-Demirbaş-1030524566-2,983-2503-617-3-E
BURAK-Özgörkey-1030524600-2,983-2504-618-3-E
DURAN-Tütüncü-1030523412-2,979-2510-619-3-E
SÜMEYRA-Köybaşı-1030522560-2,972-2533-620-3-K
SELİN-Ilıcalı-1030524688-2,972-2534-621-3-K
ÖMER-Özkara-1030523251-2,971-2536-622-3-E
SELİM-Ertürk-1030523205-2,967-2545-623-3-E
FURKAN-Numanoğlu-1030524871-2,967-2546-624-3-E
İZZET-Tunaboylu-1030523352-2,963-2554-625-3-E
İREM-Yazıcı-1030523685-2,963-2555-626-3-K
BÜLENT-Yalçın-1030523953-2,961-2559-627-3-E
FAZIL-Kunt-1030524624-2,959-2565-628-3-E
HAZİM-Yılmazer-1030522500-2,958-2569-629-3-E
HAZAN-Başoğlu-1030522732-2,954-2579-630-3-K
ŞEYMA-Sözeri-1030523930-2,954-2580-631-3-K
İBRAHİM-Erez-1030524801-2,952-2585-632-3-E
BÜLENT-Ertürk-1030523978-2,95-2592-633-3-E
MELEK-Gümüşpala-1030523484-2,948-2598-634-3-K
ALİME-Köybaşı-1030523656-2,947-2601-635-3-K
MUSTAFA-Ertepınar-1030524970-2,943-2608-636-3-E
DENİZ-Oraloğlu-1030523132-2,94-2616-637-3-E
MÜCAHİD-Çapanoğlu-1030522541-2,939-2618-638-3-E
TAYFUR-Karaböcek-1030523312-2,938-2621-639-3-E
EREN-Atakol-1030524701-2,937-2628-640-3-E
UĞUR-Beşok-1030524754-2,937-2629-641-3-E
HALİME-Tekand-1030524165-2,935-2633-642-3-K
YUNUS-Yorulmaz-1030523054-2,934-2635-643-3-E
FURKAN-Balcı-1030524246-2,934-2636-644-3-E
VEYSEL-Karaer-1030524317-2,934-2637-645-3-E
BEGÜM-Günday-1030524293-2,933-2641-646-3-K
SAMET-Öymen-1030522690-2,93-2645-647-3-E
HALİT-Demirbaş-1030523332-2,93-2646-648-3-E
KÜRŞAD-Ertepınar-1030524886-2,93-2647-649-3-E
KAAN-Bademci-1030524248-2,929-2651-650-3-E
SÜMEYYE-Özdenak-1030524601-2,928-2655-651-3-K
VEYSEL-Kahveci-1030523719-2,927-2662-652-3-E
HALİME-Koç-1030523303-2,926-2666-653-3-K
HALDUN-Tanrıkulu-1030523778-2,924-2669-654-3-E
BURHAN-Atan-1030523406-2,921-2677-655-3-E
DOĞAN-Erkekli-1030524544-2,92-2682-656-3-E
SEVİL-Türkyılmaz-1030524229-2,919-2683-657-3-K
MECNUN-Tekelioğlu-1030523469-2,918-2685-658-3-E
MİHRİBAN-Orbay-1030523206-2,915-2689-659-3-K
SULTAN-Mertoğlu-1030524772-2,913-2691-660-3-K
ALP-Arslanoğlu-1030524088-2,909-2703-661-3-E
BUĞRA-Çevik-1030524477-2,909-2704-662-3-E
GONCA-Aşıkoğlu-1030523668-2,907-2711-663-3-K
SERDAR-Kocabıyık-1030523441-2,903-2720-664-3-E
EFE-Yeşilkaya-1030524306-2,902-2722-665-3-E
VENHAR-Kavaklıoğlu-1030523009-2,901-2726-666-3-K
ALİME-Poçan-1030523750-2,901-2727-667-3-K
AYFER-Öztonga-1030524830-2,898-2737-668-3-K
EFEKAN-Kocabıyık-1030523695-2,897-2742-669-3-E
HALUK-Tazegül-1030523689-2,896-2749-670-3-E
ENİSE-Kasapoğlu-1030523192-2,895-2752-671-3-K
MÜCAHİD-Ayaydın-1030523985-2,895-2753-672-3-E
CEREN-Arıcan-1030522638-2,891-2770-673-3-K
OKTAY-Mayhoş-1030523537-2,888-2775-674-3-E
GÖKÇEN-Sandalcı-1030523646-2,888-2776-675-3-K
FERDANE-Doğan -1030524541-2,887-2780-676-3-K
CAFE-Dağdaş-1030523620-2,884-2787-677-3-E
DUYGU-Atakol-1030523578-2,883-2790-678-3-K
FİLİZ-Mertoğlu-1030523411-2,882-2792-679-3-K
SEVDE-Keçeci-1030523408-2,881-2795-680-3-K
SEVİL-Karadaş-1030524706-2,881-2796-681-3-K
NİMET-Avan-1030524466-2,88-2799-682-3-K
KEREM-Kıraç -1030524733-2,873-2808-683-3-E
ŞEYDA-Körmükçü-1030524286-2,871-2813-684-3-K
VEYSEL-Alyanak-1030522512-2,87-2816-685-3-E
HİLMİ-Koç-1030523208-2,87-2817-686-3-E
ÖZKAN-Çatalbaş-1030523318-2,87-2818-687-3-E
KALENDER-Tuğluk-1030523479-2,869-2820-688-3-E
ÇAĞRI-Özgörkey-1030523375-2,868-2824-689-3-E
AYŞENUR-Özdoğan-1030522693-2,867-2828-690-3-K
MERT-Erdoğan-1030522586-2,866-2831-691-3-E
NERGİS-Menemencioğlu-1030524836-2,866-2832-692-3-K
ALPEREN-Aşıkoğlu-1030524225-2,865-2834-693-3-E
EFE-Sarıoğlu-1030524875-2,863-2838-694-3-E
CAFER-Yeşilkaya-1030523460-2,857-2852-695-3-E
GÜRBÜZ-Akal-1030524322-2,857-2853-696-3-E
CÜNEYT-Aybar-1030523333-2,855-2860-697-3-E
OKTAY-Çetin-1030524169-2,854-2862-698-3-E
SUZAN-Polat-1030522708-2,85-2870-699-3-K
MUSTAFA-Elçiboğa-1030523731-2,85-2871-700-3-E
İPEK-Kocabıyık-1030522505-2,849-2876-701-3-K
DERVİŞ-Türkdoğan-1030523535-2,848-2879-702-3-E
FERHAN-Kahveci-1030523781-2,845-2885-703-3-K
NERGİS-Sezek-1030524730-2,844-2889-704-3-K
İLYA-Ilıcalı-1030522744-2,838-2900-705-3-K
FATİH-Çetiner-1030523951-2,835-2902-706-3-E
GONCA-Avan-1030524209-2,833-2905-707-3-K
İBRAHİM-Topçuoğlu-1030524700-2,833-2906-708-3-E
VEYSEL-Ilıcalı-1030523354-2,828-2916-709-3-E
NAZLI-Balcı-1030524531-2,827-2918-710-3-K
DİLAY-Kunt-1030523247-2,825-2922-711-3-K
SULTAN-Düşenkalkar-1030524539-2,825-2923-712-3-K
HAMZA-Pekkan-1030523490-2,824-2926-713-3-E
HATİCE-Erdoğan-1030524742-2,821-2931-714-3-K
NAZİK-Atakol-1030524844-2,821-2932-715-3-K
FERDA-Tokatlıoğlu-1030522930-2,817-2941-716-3-K
TOPRAK-Akaydın-1030524599-2,815-2947-717-3-E
GÜLDİDE-Egeli-1030523580-2,814-2948-718-3-K
NUR-Tokatlıoğlu-1030523179-2,812-2949-719-3-K
ALİSA-Erdoğan-1030524611-2,812-2950-720-3-K
ŞEVVAL-Hakyemez-1030524460-2,811-2951-721-3-K
SÜMEYRA-Eliçin-1030524669-2,811-2952-722-3-K
BARAN-Sepetçi-1030523753-2,81-2955-723-3-E
VEYSEL-Barbarosoğlu-1030524629-2,808-2963-724-3-E
HASAN-Ertürk-1030524803-2,806-2969-725-3-E
EMRULLAH-Tekelioğlu-1030524400-2,804-2974-726-3-E
YÜSRA-Ayverdi-1030523395-2,801-2983-727-3-K
FATİH-Gönültaş-1030524073-2,801-2984-728-3-E
UĞUR-Karabulut-1030522654-2,799-2987-729-3-E
HALİT-Tuğlu-1030522868-2,799-2988-730-3-E
ÇETİN-Mayhoş-1030522741-2,797-2991-731-3-E
İBRAHİM-Hakyemez-1030523131-2,797-2992-732-3-E
CANAN-Paksüt-1030524463-2,795-2998-733-3-K
HİKMET-Menemencioğlu-1030522788-2,794-3001-734-3-E
MİHRİBAN-Erdoğan-1030523485-2,793-3006-735-3-K
HALDUN-Erdoğan-1030524104-2,791-3015-736-3-E
BUĞRA-Paksüt-1030524258-2,79-3018-737-3-E
ERSİN-Sarıoğlu-1030524216-2,787-3027-738-3-E
ELİF-Bakırcıoğlu-1030524468-2,787-3028-739-3-K
FİRDEVS-Ertürk-1030522904-2,786-3030-740-3-K
DEMET-Dalkıran-1030523792-2,786-3031-741-3-K
BURHAN-Aclan-1030524085-2,786-3032-742-3-E
EREN-Özbey-1030523060-2,784-3035-743-3-E
HALDUN-Koçoğlu-1030524618-2,782-3040-744-3-E
SEVİL-Ekici-1030523245-2,779-3047-745-3-K
YONCA-Erbay-1030523134-2,778-3048-746-3-K
BURAK-Ekşioğlu-1030524847-2,778-3049-747-3-E
NAZİK-Dağdaş-1030522699-2,777-3053-748-3-K
ERKAN-Özbey-1030522793-2,777-3054-749-3-E
ESMA-Balaban-1030524129-2,777-3055-750-3-K
HANDAN-Evliyaoğlu-1030523533-2,776-3056-751-3-K
TUĞBA-Ilıcalı-1030523970-2,776-3057-752-3-K
FATİH-Kunt-1030524124-2,776-3058-753-3-E
ERTAN-Ağaoğlu-1030523257-2,774-3063-754-3-E
DEMET-Korol-1030524256-2,774-3064-755-3-K
AHU-Ekşioğlu-1030522625-2,771-3074-756-3-K
ÖZGÜR-Sarıoğlu-1030524448-2,771-3075-757-3-E
DESTAN-Çetiner-1030524037-2,77-3077-758-3-K
HASAN-Tazegül-1030524421-2,769-3078-759-3-E
DİLAN-Egeli-1030523321-2,767-3083-760-3-K
UMUT-Evliyaoğlu-1030523632-2,767-3084-761-3-E
HİLMİ-Erçetin-1030523776-2,767-3085-762-3-E
SEMA-Adal-1030524651-2,765-3090-763-3-K
CAN-Toraman-1030524997-2,763-3095-764-3-E
MUHAMMED-Biçer-1030524607-2,761-3101-765-3-E
HAKKI-Pekkan-1030523730-2,76-3103-766-3-E
BERFİN-Kaya -1030524250-2,76-3104-767-3-K
GÖKÇE-Karadaş-1030523498-2,757-3112-768-3-K
HACI-Okumuş-1030524117-2,757-3113-769-3-E
MEHTAP-Duygulu-1030524239-2,754-3120-770-3-K
SEMİH-Paksüt-1030522825-2,753-3123-771-3-E
DENİZ-Erez-1030524005-2,751-3131-772-3-E
İZZET-Dağlaroğlu-1030522789-2,748-3139-773-3-E
FAİK-Bademci-1030523508-2,748-3140-774-3-E
DOĞAN-Aşıkoğlu-1030523463-2,743-3156-775-3-E
ONUR-Tuğlu-1030523518-2,74-3164-776-3-E
DURAN-Tekand-1030523567-2,74-3165-777-3-E
BEGÜM-Kılıççı-1030523023-2,739-3167-778-3-K
MİRAY-Ilıcalı-1030522965-2,738-3169-779-3-K
BERFİN-Sözeri-1030523344-2,737-3178-780-3-K
ŞEYMANUR-Kurutluoğlu-1030523378-2,737-3179-781-3-K
MAHMUT-Sinanoğlu-1030524720-2,737-3180-782-3-E
ÇAĞLAR-Akaydın-1030522720-2,736-3181-783-3-E
BATUHAN-Biçer-1030524551-2,735-3183-784-3-E
SÜMEYYE-Karaer-1030524668-2,735-3184-785-3-K
MUHAMMED-Küçükler-1030523984-2,732-3190-786-3-E
YAHYA-Ilıcalı-1030524554-2,731-3195-787-3-E
NİHAL-Karaduman-1030523444-2,726-3205-788-3-K
GÖKÇE-Kılıççı-1030522801-2,725-3206-789-3-K
SEFA-Karabulut-1030524586-2,725-3207-790-3-E
TUĞRAN-Koç-1030524087-2,724-3208-791-3-E
YUSUF-Tunaboylu-1030524327-2,724-3209-792-3-E
OKTAY-Türkdoğan-1030522755-2,714-3230-793-3-E
ECENUR-Baturalp-1030523631-2,713-3237-794-3-K
HALUK-Erginsoy-1030522906-2,712-3238-795-3-E
DİLBERAYELA-Poçan-1030522631-2,702-3257-796-3-K
MUSTAFA-Beşerler-1030524276-2,702-3258-797-3-E
AYÇA-Aybar-1030524918-2,701-3261-798-3-K
ARİF-Yıldırım -1030522737-2,698-3264-799-3-E
KÜRŞAD-Tanrıkulu-1030523455-2,698-3265-800-3-E
VEYSEL-Dalkıran-1030522605-2,695-3272-801-3-E
NELİS-Çapanoğlu-1030522898-2,693-3276-802-3-K
TAHA-Demirel-1030523166-2,693-3277-803-3-E
HİLMİ-Karadaş-1030523905-2,69-3287-804-3-E
ÖZGÜL-Atakol-1030524167-2,687-3292-805-3-K
ÇINAR-Kılıççı-1030524912-2,687-3293-806-3-E
CEREN-Pekkan-1030523109-2,683-3299-807-3-K
HANDAN-Baturalp-1030524779-2,683-3300-808-3-K
ÇAĞRI-Arslanoğlu-1030524979-2,678-3312-809-3-E
TAHSİN-Pektemek-1030523421-2,676-3313-810-3-E
CEM-Keçeci-1030523619-2,675-3315-811-3-E
ALİ-Özberk-1030524546-2,668-3324-812-3-E
GAMZE-Balcı-1030523516-2,667-3327-813-3-K
NAZİK-Erginsoy-1030524581-2,667-3328-814-3-K
UMUT-Körmükçü-1030524279-2,666-3332-815-3-E
BİLGE-Başoğlu-1030524589-2,665-3336-816-3-K
TOPRAK-Oraloğlu-1030522860-2,664-3342-817-3-E
ÇETİN-Alyanak-1030522531-2,663-3345-818-3-E
GÜNER-Topçuoğlu-1030523221-2,655-3365-819-3-K
İBRAHİM-Atakol-1030523502-2,655-3366-820-3-E
HİKMET-Ayverdi-1030524925-2,654-3367-821-3-E
HABİBE-Uluhan-1030522773-2,652-3374-822-3-K
DENİZ-Türkyılmaz-1030523356-2,652-3375-823-3-E
NUR-Öztonga-1030523150-2,648-3383-824-3-K
DİLBERAYELA-Hamzaoğlu-1030522548-2,647-3388-825-3-K
RÜMEYSA-Özgörkey-1030524549-2,647-3389-826-3-K
TUNA-Gümüşpala-1030523715-2,644-3394-827-3-E
ENİSE-Ilıcalı-1030522582-2,641-3399-828-3-K
BİLGE-Yıldırım -1030524893-2,641-3400-829-3-K
EMRULLAH-Kıraç -1030523043-2,64-3403-830-3-E
ALİME-Erçetin-1030524951-2,639-3407-831-3-K
ASLI-Solmaz-1030522637-2,637-3414-832-3-K
GÜNER-Polat-1030523993-2,631-3431-833-3-K
SIRRI-Kavaklıoğlu-1030524046-2,63-3433-834-3-E
HALDUN-Özgörkey-1030523004-2,626-3442-835-3-E
ÖZGÜR-Avan-1030522666-2,624-3448-836-3-E
AFŞIN-Koçoğlu-1030522778-2,622-3449-837-3-E
FAİK-Erbulak-1030524990-2,622-3450-838-3-E
TUĞÇE-Bakırcıoğlu-1030522813-2,621-3452-839-3-K
CAFE-Kunt-1030522934-2,619-3458-840-3-E
FADİME-Alnıaçık-1030524074-2,619-3459-841-3-K
HALE-Tuğlu-1030524234-2,617-3463-842-3-K
GAMZE-Velioğlu-1030524283-2,61-3475-843-3-K
RABİA-Körmükçü-1030524888-2,61-3476-844-3-K
TUĞRAN-Sadıklar-1030523160-2,606-3487-845-3-E
ALPEREN-Taşlı-1030524224-2,605-3492-846-3-E
BÜŞRA-Arslanoğlu-1030522583-2,602-3500-847-3-K
AYŞENUR-Yetkiner-1030524423-2,6-3501-848-3-K
FEYZA-Paksüt-1030523088-2,598-3507-849-3-K
SELÇUK-Tüzün-1030523539-2,598-3508-850-3-E
BAYRAM-Sadıklar-1030523713-2,598-3509-851-3-E
İREM-Ekici-1030522734-2,597-3511-852-3-K
GÖKHAN-Ilıcalı-1030523234-2,597-3512-853-3-E
CEREN-Sepetçi-1030524984-2,596-3514-854-3-K
HALUK-Koçyiğit-1030522861-2,595-3516-855-3-E
KÜRŞAD-Özberk-1030523345-2,591-3529-856-3-E
NAZİK-Erdoğan-1030523690-2,584-3536-857-3-K
GÜNER-Kavaklıoğlu-1030524045-2,584-3537-858-3-K
FİRDEVS-Tüzün-1030524135-2,582-3544-859-3-K
CUMA-Hamzaoğlu-1030522598-2,58-3548-860-3-E
DOĞAN-Solmaz-1030523797-2,579-3550-861-3-E
AHENK-Kahveci-1030523510-2,578-3554-862-3-K
SENEM-Erkekli-1030524266-2,575-3557-863-3-K
ERKAN-Atan-1030522866-2,572-3563-864-3-E
CENGİZ-Topçuoğlu-1030523276-2,569-3569-865-3-E
AKIN-Paksüt-1030523006-2,566-3575-866-3-E
RECEP-Arıcan-1030523649-2,566-3576-867-3-E
ILGIN-Kunter-1030522871-2,565-3577-868-3-K
ALP-Çamdalı-1030524026-2,565-3578-869-3-E
DİDEM-Özbey-1030523501-2,562-3583-870-3-K
İBRAHİM-Kurutluoğlu-1030523676-2,559-3590-871-3-E
VENHAR-Tazegül-1030524432-2,556-3597-872-3-K
ŞEYMANUR-Dizdar -1030523118-2,555-3601-873-3-K
ŞERİFE-Adan-1030524728-2,555-3602-874-3-K
NECLA-Topaloğlu-1030524427-2,552-3611-875-3-K
SEZER-Akışık-1030523875-2,551-3612-876-3-E
SELİN-Özbey-1030524496-2,548-3616-877-3-K
ESAT-Özdoğan-1030524823-2,547-3619-878-3-E
SEFA-Öztonga-1030522806-2,546-3625-879-3-E
CUMAALİ-Arıcan-1030522877-2,544-3628-880-3-E
CEYLİN-Aşıkoğlu-1030523651-2,544-3629-881-3-K
HATİCE-Durmaz-1030523113-2,543-3631-882-3-K
AHSEN-Gönültaş-1030523398-2,541-3635-883-3-K
NEHİR-Akgül-1030524053-2,54-3638-884-3-K
İREM-Gümüşpala-1030522785-2,536-3643-885-3-K
ENES-Orbay-1030524519-2,535-3644-886-3-E
ÇAĞRI-Karadaş-1030524922-2,535-3645-887-3-E
BUSE-Hamzaoğlu-1030523267-2,533-3649-888-3-K
CEYDA-Limoncuoğlu-1030523961-2,531-3655-889-3-K
İLAYDA-Çetin-1030524377-2,53-3657-890-3-K
SÜHEYLA-Ayverdi-1030524858-2,529-3661-891-3-K
OSMAN-Tekand-1030524555-2,528-3663-892-3-E
VEYSEL-Alnıaçık-1030523402-2,527-3665-893-3-E
AYSU-Kahveci-1030522729-2,52-3675-894-3-K
DİLEK-Adal-1030523394-2,519-3677-895-3-K
FULYA-Sinanoğlu-1030524978-2,515-3685-896-3-K
RUKİYE-Keçeci-1030524201-2,513-3690-897-3-K
İZZET-Polat-1030524832-2,511-3692-898-3-E
SIRRI-Kahveci-1030522623-2,507-3697-899-3-E
YUSUF-Kılıççı-1030524634-2,505-3702-900-3-E
DİLRUBA-Demirbaş-1030523019-2,504-3704-901-3-K
CİVAN-Doğan -1030523944-2,504-3705-902-3-E
SEFA-Ilıcalı-1030522574-2,502-3710-903-3-E
VEHBİ-Koyuncu-1030523477-2,501-3715-904-3-E
CEM-Demirbaş-1030522795-2,497-3726-905-3-E
MELİSA-Çetin-1030522802-2,496-3730-906-3-K
GÜRBÜZ-Sarıoğlu-1030522917-2,496-3731-907-3-E
YUSUF-Okumuş-1030524352-2,492-3739-908-3-E
